Word	Subject	Trial	ItemNo	Session	Condition	Acc	Cue	ACC	CueCondition	Length.Phon	FreqLogLemma
ambulance	FF	156	54	1	Phonological	0	Cued	FALSE	PhCue	9	0.9542
ambulance	WR	65	54	4	Semantic	1	Cued	TRUE	SemCue	9	0.9542
ambulance	AW	156	54	3	Phonological	1	Cued	TRUE	PhCue	9	0.9542
ambulance	FF	40	54	3	Semantic	0	NotCued	FALSE	UnAssoc	9	0.9542
ambulance	MH	40	54	1	Semantic	0	NotCued	FALSE	UnAssoc	9	0.9542
ambulance	AW	65	54	1	Semantic	1	Cued	TRUE	SemCue	9	0.9542
ambulance	AW	132	54	4	Phonological	1	NotCued	TRUE	Tone	9	0.9542
ambulance	CB	65	54	3	Semantic	1	Cued	TRUE	SemCue	9	0.9542
ambulance	JV	132	54	2	Phonological	1	NotCued	TRUE	Tone	9	0.9542
ambulance	JK	40	54	3	Semantic	0	NotCued	FALSE	UnAssoc	9	0.9542
ambulance	FF	65	54	4	Semantic	0	Cued	FALSE	SemCue	9	0.9542
ambulance	EW	65	54	3	Semantic	1	Cued	TRUE	SemCue	9	0.9542
ambulance	CB	156	54	2	Phonological	1	Cued	TRUE	PhCue	9	0.9542
ambulance	AM	40	54	3	Semantic	0	NotCued	FALSE	UnAssoc	9	0.9542
ambulance	DH	132	54	2	Phonological	0	NotCued	FALSE	Tone	9	0.9542
ambulance	JV	40	54	3	Semantic	1	NotCued	TRUE	UnAssoc	9	0.9542
ambulance	WR	156	54	1	Phonological	1	Cued	TRUE	PhCue	9	0.9542
ambulance	AM	156	54	1	Phonological	0	Cued	FALSE	PhCue	9	0.9542
ambulance	AM	132	54	2	Phonological	0	NotCued	FALSE	Tone	9	0.9542
ambulance	JK	156	54	2	Phonological	NA	Cued	NA	PhCue	9	0.9542
ambulance	CB	40	54	4	Semantic	1	NotCued	TRUE	UnAssoc	9	0.9542
ambulance	AM	65	54	4	Semantic	0	Cued	FALSE	SemCue	9	0.9542
ambulance	AW	40	54	2	Semantic	0	NotCued	FALSE	UnAssoc	9	0.9542
ambulance	WR	40	54	3	Semantic	1	NotCued	TRUE	UnAssoc	9	0.9542
ambulance	DH	65	54	3	Semantic	0	Cued	FALSE	SemCue	9	0.9542
ambulance	CB	132	54	1	Phonological	1	NotCued	TRUE	Tone	9	0.9542
ambulance	MH	65	54	2	Semantic	0	Cued	FALSE	SemCue	9	0.9542
ambulance	WR	132	54	2	Phonological	0	NotCued	FALSE	Tone	9	0.9542
ambulance	MH	132	54	4	Phonological	0	NotCued	FALSE	Tone	9	0.9542
ambulance	EW	156	54	2	Phonological	1	Cued	TRUE	PhCue	9	0.9542
ambulance	EW	40	54	4	Semantic	1	NotCued	TRUE	UnAssoc	9	0.9542
ambulance	JK	65	54	4	Semantic	0	Cued	FALSE	SemCue	9	0.9542
ambulance	EW	132	54	1	Phonological	1	NotCued	TRUE	Tone	9	0.9542
ambulance	DH	40	54	4	Semantic	1	NotCued	TRUE	UnAssoc	9	0.9542
ambulance	JV	65	54	4	Semantic	1	Cued	TRUE	SemCue	9	0.9542
ambulance	DH	156	54	1	Phonological	0	Cued	FALSE	PhCue	9	0.9542
ambulance	MH	156	54	3	Phonological	0	Cued	FALSE	PhCue	9	0.9542
ambulance	JV	156	54	1	Phonological	1	Cued	TRUE	PhCue	9	0.9542
ambulance	FF	132	54	2	Phonological	0	NotCued	FALSE	Tone	9	0.9542
ambulance	JK	132	54	1	Phonological	0	NotCued	FALSE	Tone	9	0.9542
anchor	EW	118	92	4	Semantic	1	NotCued	TRUE	UnAssoc	5	0.7782
anchor	JK	18	92	4	Semantic	0	Cued	FALSE	SemCue	5	0.7782
anchor	AW	18	92	1	Semantic	1	Cued	TRUE	SemCue	5	0.7782
anchor	EW	11	92	2	Phonological	1	Cued	TRUE	PhCue	5	0.7782
anchor	AM	11	92	1	Phonological	0	Cued	FALSE	PhCue	5	0.7782
anchor	EW	18	92	3	Semantic	1	Cued	TRUE	SemCue	5	0.7782
anchor	CB	118	92	4	Semantic	1	NotCued	TRUE	UnAssoc	5	0.7782
anchor	AW	118	92	2	Semantic	1	NotCued	TRUE	UnAssoc	5	0.7782
anchor	EW	23	92	1	Phonological	NA	NotCued	NA	Tone	5	0.7782
anchor	MH	118	92	1	Semantic	NA	NotCued	NA	UnAssoc	5	0.7782
anchor	AM	23	92	2	Phonological	0	NotCued	FALSE	Tone	5	0.7782
anchor	DH	118	92	4	Semantic	1	NotCued	TRUE	UnAssoc	5	0.7782
anchor	JV	18	92	4	Semantic	0	Cued	FALSE	SemCue	5	0.7782
anchor	DH	18	92	3	Semantic	0	Cued	FALSE	SemCue	5	0.7782
anchor	JK	23	92	1	Phonological	NA	NotCued	NA	Tone	5	0.7782
anchor	DH	11	92	1	Phonological	0	Cued	FALSE	PhCue	5	0.7782
anchor	JV	118	92	3	Semantic	1	NotCued	TRUE	UnAssoc	5	0.7782
anchor	CB	11	92	2	Phonological	1	Cued	TRUE	PhCue	5	0.7782
anchor	FF	118	92	3	Semantic	0	NotCued	FALSE	UnAssoc	5	0.7782
anchor	AW	11	92	3	Phonological	1	Cued	TRUE	PhCue	5	0.7782
anchor	FF	23	92	2	Phonological	1	NotCued	TRUE	Tone	5	0.7782
anchor	WR	23	92	2	Phonological	1	NotCued	TRUE	Tone	5	0.7782
anchor	CB	18	92	3	Semantic	1	Cued	TRUE	SemCue	5	0.7782
anchor	CB	23	92	1	Phonological	1	NotCued	TRUE	Tone	5	0.7782
anchor	MH	11	92	3	Phonological	NA	Cued	NA	PhCue	5	0.7782
anchor	FF	18	92	4	Semantic	0	Cued	FALSE	SemCue	5	0.7782
anchor	AM	18	92	4	Semantic	0	Cued	FALSE	SemCue	5	0.7782
anchor	WR	18	92	4	Semantic	0	Cued	FALSE	SemCue	5	0.7782
anchor	AW	23	92	4	Phonological	1	NotCued	TRUE	Tone	5	0.7782
anchor	FF	11	92	1	Phonological	1	Cued	TRUE	PhCue	5	0.7782
anchor	AM	118	92	3	Semantic	0	NotCued	FALSE	UnAssoc	5	0.7782
anchor	JV	11	92	1	Phonological	0	Cued	FALSE	PhCue	5	0.7782
anchor	MH	18	92	2	Semantic	NA	Cued	NA	SemCue	5	0.7782
anchor	MH	23	92	4	Phonological	0	NotCued	FALSE	Tone	5	0.7782
anchor	JV	23	92	2	Phonological	NA	NotCued	NA	Tone	5	0.7782
anchor	WR	118	92	3	Semantic	NA	NotCued	NA	UnAssoc	5	0.7782
anchor	WR	11	92	1	Phonological	1	Cued	TRUE	PhCue	5	0.7782
anchor	DH	23	92	2	Phonological	0	NotCued	FALSE	Tone	5	0.7782
anchor	JK	118	92	3	Semantic	0	NotCued	FALSE	UnAssoc	5	0.7782
anchor	JK	11	92	2	Phonological	0	Cued	FALSE	PhCue	5	0.7782
apple	MH	2	16	4	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	JK	2	16	1	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	DH	10	16	3	Semantic	1	Cued	TRUE	SemCue	4	1.4771
apple	DH	13	16	4	Semantic	1	NotCued	TRUE	UnAssoc	4	1.4771
apple	WR	10	16	4	Semantic	1	Cued	TRUE	SemCue	4	1.4771
apple	MH	10	16	2	Semantic	0	Cued	FALSE	SemCue	4	1.4771
apple	FF	76	16	1	Phonological	1	Cued	TRUE	PhCue	4	1.4771
apple	WR	76	16	1	Phonological	0	Cued	FALSE	PhCue	4	1.4771
apple	JV	76	16	1	Phonological	1	Cued	TRUE	PhCue	4	1.4771
apple	MH	76	16	3	Phonological	1	Cued	TRUE	PhCue	4	1.4771
apple	DH	76	16	1	Phonological	1	Cued	TRUE	PhCue	4	1.4771
apple	CB	2	16	1	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	DH	2	16	2	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	JK	76	16	2	Phonological	1	Cued	TRUE	PhCue	4	1.4771
apple	JK	10	16	4	Semantic	NA	Cued	NA	SemCue	4	1.4771
apple	CB	10	16	3	Semantic	1	Cued	TRUE	SemCue	4	1.4771
apple	CB	76	16	2	Phonological	1	Cued	TRUE	PhCue	4	1.4771
apple	MH	13	16	1	Semantic	NA	NotCued	NA	UnAssoc	4	1.4771
apple	JK	13	16	3	Semantic	NA	NotCued	NA	UnAssoc	4	1.4771
apple	CB	13	16	4	Semantic	1	NotCued	TRUE	UnAssoc	4	1.4771
apple	JV	2	16	2	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	AM	13	16	3	Semantic	0	NotCued	FALSE	UnAssoc	4	1.4771
apple	WR	13	16	3	Semantic	1	NotCued	TRUE	UnAssoc	4	1.4771
apple	EW	13	16	4	Semantic	1	NotCued	TRUE	UnAssoc	4	1.4771
apple	JV	13	16	3	Semantic	1	NotCued	TRUE	UnAssoc	4	1.4771
apple	AW	76	16	3	Phonological	1	Cued	TRUE	PhCue	4	1.4771
apple	AW	10	16	1	Semantic	1	Cued	TRUE	SemCue	4	1.4771
apple	JV	10	16	4	Semantic	1	Cued	TRUE	SemCue	4	1.4771
apple	AM	76	16	1	Phonological	0	Cued	FALSE	PhCue	4	1.4771
apple	AM	2	16	2	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	EW	2	16	1	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	FF	2	16	2	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	FF	10	16	4	Semantic	1	Cued	TRUE	SemCue	4	1.4771
apple	AW	13	16	2	Semantic	1	NotCued	TRUE	UnAssoc	4	1.4771
apple	WR	2	16	2	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	EW	10	16	3	Semantic	1	Cued	TRUE	SemCue	4	1.4771
apple	AM	10	16	4	Semantic	1	Cued	TRUE	SemCue	4	1.4771
apple	AW	2	16	4	Phonological	1	NotCued	TRUE	Tone	4	1.4771
apple	FF	13	16	3	Semantic	1	NotCued	TRUE	UnAssoc	4	1.4771
apple	EW	76	16	2	Phonological	1	Cued	TRUE	PhCue	4	1.4771
baby	WR	152	120	4	Semantic	1	NotCued	TRUE	UnAssoc	4	2.4116
baby	EW	30	120	2	Phonological	NA	NotCued	NA	Tone	4	2.4116
baby	JK	152	120	4	Semantic	NA	NotCued	NA	UnAssoc	4	2.4116
baby	JK	30	120	2	Phonological	1	NotCued	TRUE	Tone	4	2.4116
baby	AW	30	120	3	Phonological	1	NotCued	TRUE	Tone	4	2.4116
baby	JV	110	120	2	Phonological	1	Cued	TRUE	PhCue	4	2.4116
baby	DH	152	120	3	Semantic	1	NotCued	TRUE	UnAssoc	4	2.4116
baby	JK	92	120	3	Semantic	1	Cued	TRUE	SemCue	4	2.4116
baby	EW	110	120	1	Phonological	NA	Cued	NA	PhCue	4	2.4116
baby	DH	110	120	2	Phonological	1	Cued	TRUE	PhCue	4	2.4116
baby	EW	152	120	3	Semantic	NA	NotCued	NA	UnAssoc	4	2.4116
baby	EW	92	120	4	Semantic	0	Cued	FALSE	SemCue	4	2.4116
baby	JV	152	120	4	Semantic	1	NotCued	TRUE	UnAssoc	4	2.4116
baby	WR	110	120	2	Phonological	NA	Cued	NA	PhCue	4	2.4116
baby	AM	110	120	2	Phonological	0	Cued	FALSE	PhCue	4	2.4116
baby	DH	30	120	1	Phonological	1	NotCued	TRUE	Tone	4	2.4116
baby	AM	92	120	3	Semantic	0	Cued	FALSE	SemCue	4	2.4116
baby	JV	30	120	1	Phonological	1	NotCued	TRUE	Tone	4	2.4116
baby	MH	152	120	2	Semantic	0	NotCued	FALSE	UnAssoc	4	2.4116
